gene	chro	start	end	strand	gene_type	gene_id
DDX11L16	chr1	11121	24894	+	lncRNA	ENSG00000290825
DDX11L1	chr1	12010	13670	+	transcribed_unprocessed_pseudogene	ENSG00000223972
WASH7P	chr1	30744	14356	-	lncRNA	ENSG00000310526
WASH7P	chr1	24886	14696	-	transcribed_unprocessed_pseudogene	ENSG00000227232
MIR6859-1	chr1	17436	17369	-	miRNA	ENSG00000278267
MIR1302-2HG	chr1	28589	31109	+	lncRNA	ENSG00000243485
MIR1302-2	chr1	30366	30503	+	miRNA	ENSG00000284332
FAM138A	chr1	37595	34553	-	lncRNA	ENSG00000237613
ENSG00000308361	chr1	36526	40778	+	lncRNA	ENSG00000308361
ENSG00000290826	chr1	51891	64116	+	lncRNA	ENSG00000290826
OR4G4P	chr1	52473	53312	+	transcribed_unprocessed_pseudogene	ENSG00000268020
OR4G11P	chr1	62949	63887	+	transcribed_unprocessed_pseudogene	ENSG00000240361
OR4F5	chr1	65419	71585	+	protein_coding	ENSG00000186092
ENSG00000241860	chr1	181719	89295	-	lncRNA	ENSG00000241860
ENSG00000239945	chr1	91105	89551	-	lncRNA	ENSG00000239945
ENSG00000308314	chr1	96638	105742	+	lncRNA	ENSG00000308314
CICP27	chr1	131025	134836	+	processed_pseudogene	ENSG00000233750
ENSG00000308579	chr1	136246	134914	-	lncRNA	ENSG00000308579
ENSG00000268903	chr1	135895	135141	-	transcribed_processed_pseudogene	ENSG00000268903
ENSG00000269981	chr1	137965	137682	-	transcribed_processed_pseudogene	ENSG00000269981
ENSG00000239906	chr1	140339	139790	-	lncRNA	ENSG00000239906
ENSG00000310528	chr1	199861	146386	-	lncRNA	ENSG00000310528
RNU6-1100P	chr1	157887	157784	-	snRNA	ENSG00000222623
ENSG00000241599	chr1	160446	161525	+	lncRNA	ENSG00000241599
DDX11L2	chr1	180931	184937	+	lncRNA	ENSG00000308415
WASH9P	chr1	201244	182146	-	lncRNA	ENSG00000310527
DDX11L17	chr1	182696	184174	+	transcribed_unprocessed_pseudogene	ENSG00000279928
WASH9P	chr1	195411	185217	-	transcribed_unprocessed_pseudogene	ENSG00000279457
MIR6859-2	chr1	187958	187891	-	miRNA	ENSG00000273874
ENSG00000308625	chr1	199108	199882	+	lncRNA	ENSG00000308625
ENSG00000308544	chr1	199948	201629	+	lncRNA	ENSG00000308544
ENSG00000292994	chr1	359681	257864	-	lncRNA	ENSG00000292994
ENSG00000228463	chr1	259024	258568	-	transcribed_processed_pseudogene	ENSG00000228463
ENSG00000306775	chr1	258696	266103	+	lncRNA	ENSG00000306775
ENSG00000286448	chr1	266753	284291	+	lncRNA	ENSG00000286448
RPL23AP24	chr1	348366	347982	-	transcribed_processed_pseudogene	ENSG00000236679
ENSG00000236601	chr1	356138	366052	+	lncRNA	ENSG00000236601
ENSG00000290385	chr1	532459	365127	-	lncRNA	ENSG00000290385
WBP1LP7	chr1	439870	440232	+	processed_pseudogene	ENSG00000269732
OR4F29	chr1	451678	450740	-	protein_coding	ENSG00000284733
ENSG00000237094	chr1	485208	485026	-	transcribed_unprocessed_pseudogene	ENSG00000237094
CICP7	chr1	487101	489906	+	transcribed_processed_pseudogene	ENSG00000233653
ENSG00000250575	chr1	493241	491225	-	unprocessed_pseudogene	ENSG00000250575
U6	chr1	516479	516376	-	snRNA	ENSG00000278757
ENSG00000293331	chr1	633129	586054	-	lncRNA	ENSG00000293331
LINC00115	chr1	827989	586945	-	lncRNA	ENSG00000225880
ENSG00000235146	chr1	587577	595116	+	lncRNA	ENSG00000235146
MTND1P23	chr1	629062	629433	+	unprocessed_pseudogene	ENSG00000225972
MTND2P28	chr1	629640	630683	+	unprocessed_pseudogene	ENSG00000225630
MTCO1P12	chr1	631074	632616	+	unprocessed_pseudogene	ENSG00000237973
ENSG00000278791	chr1	632413	632325	-	miRNA	ENSG00000278791
MTCO2P12	chr1	632757	633438	+	unprocessed_pseudogene	ENSG00000229344
MTATP8P1	chr1	633535	633741	+	unprocessed_pseudogene	ENSG00000240409
MTATP6P1	chr1	633696	634376	+	unprocessed_pseudogene	ENSG00000248527
MTCO3P12	chr1	634376	634922	+	unprocessed_pseudogene	ENSG00000198744
WBP1LP6	chr1	674842	675265	+	processed_pseudogene	ENSG00000268663
OR4F16	chr1	686654	685716	-	protein_coding	ENSG00000284662
ENSG00000230021	chr1	720206	720024	-	transcribed_processed_pseudogene	ENSG00000230021
CICP3	chr1	722092	724903	+	processed_pseudogene	ENSG00000229376
RNU6-1199P	chr1	758336	758233	-	snRNA	ENSG00000223181
ENSG00000229905	chr1	760911	761989	+	lncRNA	ENSG00000229905
ENSG00000228327	chr1	774280	764723	-	transcribed_unprocessed_pseudogene	ENSG00000228327
LINC01409	chr1	778739	810066	+	lncRNA	ENSG00000237491
ENSG00000285268	chr1	781937	782050	+	transcribed_processed_pseudogene	ENSG00000285268
ENSG00000230092	chr1	810161	805799	-	transcribed_unprocessed_pseudogene	ENSG00000230092
FAM87B	chr1	817363	819842	+	lncRNA	ENSG00000177757
LINC01128	chr1	825138	868835	+	lncRNA	ENSG00000228794
ENSG00000297178	chr1	835618	833098	-	lncRNA	ENSG00000297178
ENSG00000297224	chr1	852130	850902	-	lncRNA	ENSG00000297224
FAM41C	chr1	877032	868052	-	lncRNA	ENSG00000230368
TUBB8P11	chr1	873292	874349	+	unprocessed_pseudogene	ENSG00000234711
ENSG00000283040	chr1	877234	874529	-	transcribed_unprocessed_pseudogene	ENSG00000283040
ENSG00000296088	chr1	882161	889297	+	lncRNA	ENSG00000296088
ENSG00000272438	chr1	904786	921034	+	lncRNA	ENSG00000272438
ENSG00000298603	chr1	910592	908073	-	lncRNA	ENSG00000298603
LINC02593	chr1	925614	916865	-	lncRNA	ENSG00000223764
SAMD11	chr1	923923	944575	+	protein_coding	ENSG00000187634
NOC2L	chr1	959309	944203	-	protein_coding	ENSG00000188976
KLHL17	chr1	960584	965719	+	protein_coding	ENSG00000187961
PLEKHN1	chr1	966482	975865	+	protein_coding	ENSG00000187583
PERM1	chr1	982117	975198	-	protein_coding	ENSG00000187642
ENSG00000303599	chr1	982505	989967	+	lncRNA	ENSG00000303599
ENSG00000272512	chr1	998051	995966	-	lncRNA	ENSG00000272512
HES4	chr1	1000172	998962	-	protein_coding	ENSG00000188290
ENSG00000303623	chr1	1000715	1001068	+	lncRNA	ENSG00000303623
ISG15	chr1	1001138	1014540	+	protein_coding	ENSG00000187608
ENSG00000303614	chr1	1006442	1004058	-	lncRNA	ENSG00000303614
ENSG00000231702	chr1	1008229	1008076	-	processed_pseudogene	ENSG00000231702
ENSG00000224969	chr1	1013193	1011997	-	lncRNA	ENSG00000224969
AGRN	chr1	1020120	1056119	+	protein_coding	ENSG00000188157
ENSG00000242590	chr1	1055033	1056116	+	lncRNA	ENSG00000242590
ENSG00000291156	chr1	1058461	1066464	+	lncRNA	ENSG00000291156
ENSG00000273443	chr1	1064278	1061267	-	lncRNA	ENSG00000273443
ENSG00000217801	chr1	1063079	1069355	+	transcribed_unprocessed_pseudogene	ENSG00000217801
ENSG00000304119	chr1	1069347	1065634	-	lncRNA	ENSG00000304119
ENSG00000304169	chr1	1069213	1072933	+	lncRNA	ENSG00000304169
RNF223	chr1	1074306	1070967	-	protein_coding	ENSG00000237330
C1orf159	chr1	1116361	1081818	-	protein_coding	ENSG00000131591
ENSG00000285812	chr1	1097585	1104598	+	lncRNA	ENSG00000285812
ENSG00000299943	chr1	1129023	1126312	-	lncRNA	ENSG00000299943
LINC01342	chr1	1137017	1144056	+	lncRNA	ENSG00000223823
ENSG00000304965	chr1	1158254	1157405	-	lncRNA	ENSG00000304965
MIR200B	chr1	1167104	1167198	+	miRNA	ENSG00000207730
MIR200A	chr1	1167863	1167952	+	miRNA	ENSG00000207607
MIR429	chr1	1169005	1169087	+	miRNA	ENSG00000198976
ENSG00000272141	chr1	1169357	1170343	+	lncRNA	ENSG00000272141
